Season,Team,Player
14,Rajasthan Royals,Ben Stokes
14,Rajasthan Royals,Rahul Tewatia
14,Rajasthan Royals,Andrew Tye
14,Rajasthan Royals,Jaydev Unadkat
14,Rajasthan Royals,Manan Vohra
14,Rajasthan Royals,Kuldip Yadav
14,Royal Challengers Bangalore,Virat Kohli
14,Royal Challengers Bangalore,Finn Allen
14,Royal Challengers Bangalore,Srikar Bharat
14,Royal Challengers Bangalore,Yuzvendra Chahal
14,Royal Challengers Bangalore,Dan Christian
14,Royal Challengers Bangalore,Pavan Deshpande
14,Royal Challengers Bangalore,AB de Villiers
14,Royal Challengers Bangalore,Kyle Jamieson
14,Royal Challengers Bangalore,Glenn Maxwell
14,Royal Challengers Bangalore,Mohammed Azharuddeen
14,Royal Challengers Bangalore,Mohammed Siraj
14,Royal Challengers Bangalore,Devdutt Padikkal
14,Royal Challengers Bangalore,Harshal Patel
14,Royal Challengers Bangalore,Rajat Patidar
14,Royal Challengers Bangalore,Suyash Prabhudessai
14,Royal Challengers Bangalore,Kane Richardson
14,Royal Challengers Bangalore,Sachin Baby
14,Royal Challengers Bangalore,Shahbaz Ahmed
14,Royal Challengers Bangalore,Navdeep Saini
14,Royal Challengers Bangalore,Daniel Sams
14,Royal Challengers Bangalore,Washington Sundar
14,Royal Challengers Bangalore,Adam Zampa
14,Royal Challengers Bangalore,Josh Philippe
14,Sunrisers Hyderabad,David Warner
14,Sunrisers Hyderabad,Abdul Samad
14,Sunrisers Hyderabad,Abhishek Sharma
14,Sunrisers Hyderabad,Khaleel Ahmed
14,Sunrisers Hyderabad,Jonny Bairstow
14,Sunrisers Hyderabad,Basil Thampi
14,Sunrisers Hyderabad,Priyam Garg
14,Sunrisers Hyderabad,Shreevats Goswami
14,Sunrisers Hyderabad,Jason Holder
14,Sunrisers Hyderabad,Kedar Jadhav
14,Sunrisers Hyderabad,Siddarth Kaul
14,Sunrisers Hyderabad,Bhuvneshwar Kumar
14,Sunrisers Hyderabad,Mitchell Marsh
14,Sunrisers Hyderabad,Mohammad Nabi
14,Sunrisers Hyderabad,Mujeeb Ur Rahman
14,Sunrisers Hyderabad,Shahbaz Nadeem
14,Sunrisers Hyderabad,T Natarajan
14,Sunrisers Hyderabad,Manish Pandey
14,Sunrisers Hyderabad,Rashid Khan
14,Sunrisers Hyderabad,Wriddhiman Saha
14,Sunrisers Hyderabad,Sandeep Sharma
14,Sunrisers Hyderabad,Vijay Shankar
14,Sunrisers Hyderabad,Jagadeesha Suchith
14,Sunrisers Hyderabad,Virat Singh
14,Sunrisers Hyderabad,Kane Williamson
