,Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
10,Justin Kemp,3,0,12,3,4,10,1,0,1,0,1,419113,3,85
11,Ravichandran Ashwin,4,0,22,1,5.5,11,3,0,0,0,1,419113,3,25
12,Suresh Raina,1,0,6,0,6,2,0,0,0,0,1,419113,3,0
0,Dirk Nannes,4,0,35,0,8.75,9,3,1,1,1,2,419114,3,0
1,Farveez Maharoof,4,0,50,2,12.5,6,8,0,1,1,2,419114,3,44
2,Pradeep Sangwan,4,0,41,1,10.25,8,1,3,2,0,2,419114,3,25
3,Sarabjit Ladda,4,0,44,2,11,5,4,2,0,0,2,419114,3,50
4,Amit Mishra,4,0,44,1,11,6,3,3,1,0,2,419114,3,25
5,Zaheer Khan,2,0,20,0,10,2,3,0,0,0,1,419114,3,0
6,Lasith Malinga,2,0,22,1,11,3,4,0,1,0,1,419114,3,25
7,Dwayne Bravo,2,0,11,2,5.5,7,2,0,0,0,1,419114,3,50
8,Kieron Pollard,4,0,24,1,6,11,3,0,1,0,1,419114,3,25
9,Harbhajan Singh,2.3,0,23,2,9.2,6,1,2,1,0,1,419114,3,50
10,Sanath Jayasuriya,4,0,17,2,4.25,16,1,0,1,0,1,419114,3,56
0,Praveen Kumar,4,0,18,3,4.5,15,2,0,2,0,2,419115,3,85
1,Dale Steyn,4,0,18,0,4.5,15,1,0,1,0,2,419115,3,6
2,Vinay Kumar,4,0,25,0,6.25,13,1,2,0,0,2,419115,3,0
3,Jacques Kallis,4,0,20,2,5,9,1,0,1,1,2,419115,3,50
4,Anil Kumble,3.5,0,9,3,2.35,14,0,0,0,0,2,419115,3,85
5,Munaf Patel,3,0,23,0,7.67,8,4,0,0,0,1,419115,3,0
6,Morne Morkel,3,0,34,0,11.33,6,6,0,4,0,1,419115,3,0
7,Shane Warne,2,0,12,0,6,6,2,0,0,0,1,419115,3,0
8,Sumit Narwal,2.4,0,24,0,9,7,2,1,3,0,1,419115,3,0
0,Albie Morkel,3,0,26,0,8.67,6,4,0,1,0,2,419116,3,0
1,Ravichandran Ashwin,4,0,40,1,10,5,5,1,1,0,2,419116,3,25
2,Joginder Sharma,4,0,43,1,10.75,9,5,2,0,1,2,419116,3,25
3,Lakshmipathy Balaji,3,0,21,2,7,9,2,1,0,0,2,419116,3,50
4,Justin Kemp,1,0,14,0,14,1,1,1,0,0,2,419116,3,0
5,Muttiah Muralitharan,4,0,25,2,6.25,8,2,0,2,0,2,419116,3,50
6,Suresh Raina,1,0,12,0,12,0,2,0,0,0,2,419116,3,0
7,Dirk Nannes,4,0,18,1,4.5,13,1,0,3,0,1,419116,3,31
8,Umesh Yadav,4,0,38,1,9.5,9,7,0,2,0,1,419116,3,25
9,Pradeep Sangwan,4,0,46,0,11.5,9,5,3,0,0,1,419116,3,0
10,Rajat Bhatia,2,0,31,0,15.5,3,4,2,0,0,1,419116,3,-6
11,Tillakaratne Dilshan,2.1,0,30,1,13.85,3,0,4,0,0,1,419116,3,19
12,Amit Mishra,3,0,25,1,8.33,6,0,2,3,0,1,419116,3,25
0,Irfan Pathan,3,0,16,1,5.33,7,1,0,0,0,2,419117,3,25
1,Sreesanth,4,0,51,0,12.75,5,4,3,1,0,2,419117,3,-6
2,Shalabh Srivastava,4,0,39,1,9.75,6,5,1,0,0,2,419117,3,25
3,Piyush Chawla,3,0,24,0,8,4,1,1,0,0,2,419117,3,0
4,Bipul Sharma,2,0,19,1,9.5,2,1,1,0,0,2,419117,3,25
5,Yuvraj Singh,4,0,21,2,5.25,11,1,1,0,0,2,419117,3,50
6,Chaminda Vaas,4,0,27,2,6.75,15,4,1,1,0,1,419117,3,50
7,RP Singh,4,0,43,1,10.75,11,4,3,1,0,1,419117,3,25
8,Andrew Symonds,4,0,22,1,5.5,10,2,0,0,0,1,419117,3,25
9,Pragyan Ojha,4,0,31,1,7.75,8,4,0,0,0,1,419117,3,25
10,Rohit Sharma,3,0,19,1,6.33,7,1,1,0,0,1,419117,3,25
11,Jaskaran Singh,1,0,12,1,12,3,3,0,0,0,1,419117,3,25
0,Ashok Dinda,4,0,28,2,7,10,4,0,0,0,2,419118,3,50
1,Ishant Sharma,4,0,33,2,8.25,11,2,2,2,0,2,419118,3,50
2,Shane Bond,4,0,32,2,8,6,4,0,0,0,2,419118,3,50
3,Angelo Mathews,3,0,33,0,11,3,6,0,0,0,2,419118,3,0
4,Murali Kartik,4,0,25,0,6.25,9,2,0,1,0,2,419118,3,0
5,Brad Hodge,1,0,12,0,12,0,2,0,0,0,2,419118,3,0
6,Yusuf Pathan,4,0,23,2,5.75,11,3,0,0,0,1,419118,3,50
7,Shaun Tait,4,0,29,0,7.25,10,4,0,1,0,1,419118,3,0
8,Munaf Patel,3,0,20,1,6.67,9,2,1,0,0,1,419118,3,25
9,Siddharth Trivedi,4,0,26,1,6.5,10,2,1,0,0,1,419118,3,25
10,Adam Voges,1,0,5,0,5,2,0,0,0,0,1,419118,3,0
11,Shane Warne,4,0,27,0,6.75,4,1,0,0,0,1,419118,3,0
0,Praveen Kumar,4,0,37,1,9.25,10,3,2,1,0,2,419119,3,25
1,Dale Steyn,4,0,26,3,6.5,14,4,0,3,0,2,419119,3,79
2,Jacques Kallis,4,0,35,1,8.75,8,5,0,0,0,2,419119,3,25
3,Vinay Kumar,4,0,25,3,6.25,10,3,0,0,0,2,419119,3,79
4,Anil Kumble,4,0,18,1,4.5,13,1,0,0,0,2,419119,3,31
5,Zaheer Khan,4,0,18,1,4.5,13,2,0,0,0,1,419119,3,31
6,Lasith Malinga,4,0,25,0,6.25,10,3,0,0,0,1,419119,3,0
7,Dwayne Bravo,3.1,0,35,0,11.05,5,3,2,0,0,1,419119,3,0
8,Kieron Pollard,2,0,24,0,12,2,4,0,0,0,1,419119,3,-6
9,Harbhajan Singh,4,0,35,1,8.75,9,1,3,0,0,1,419119,3,25
10,Sanath Jayasuriya,2,0,16,0,8,2,2,0,0,0,1,419119,3,0
0,Amit Mishra,3,0,12,1,4,11,1,0,0,1,2,419120,3,31
1,Dirk Nannes,4,0,39,1,9.75,8,4,2,0,0,2,419120,3,25
2,Yogesh Nagar,3,0,28,1,9.33,7,4,1,0,0,2,419120,3,25
3,Sarabjit Ladda,2,0,20,1,10,5,1,2,0,0,2,419120,3,25
4,Umesh Yadav,4,0,36,0,9,6,2,2,0,0,2,419120,3,0
5,Moises Henriques,4,0,35,1,8.75,10,3,2,0,0,2,419120,3,25
6,Chaminda Vaas,4,0,21,1,5.25,12,3,0,0,0,1,419120,3,25
7,RP Singh,3,0,31,0,10.33,6,3,2,0,0,1,419120,3,0
8,Pragyan Ojha,4,0,36,1,9,5,1,2,0,0,1,419120,3,25
9,Rohit Sharma,1,0,7,0,7,3,1,0,0,0,1,419120,3,0
10,Rahul Sharma,4,0,42,2,10.5,5,4,2,0,0,1,419120,3,50
11,Andrew Symonds,4,0,21,3,5.25,10,1,0,1,0,1,419120,3,79
0,Albie Morkel,4,0,23,2,5.75,13,2,1,0,0,2,419121,3,50
1,Manpreet Gony,2,0,20,0,10,5,4,0,0,0,2,419121,3,0
2,Ravichandran Ashwin,4,0,32,0,8,9,2,2,0,0,2,419121,3,0
3,Lakshmipathy Balaji,4,0,29,1,7.25,8,3,0,1,0,2,419121,3,25
4,Muttiah Muralitharan,4,0,16,3,4,15,2,0,0,0,2,419121,3,85
5,Justin Kemp,0.1,0,1,0,6,1,0,0,1,0,2,419121,3,0
6,Suresh Raina,1.5,0,13,0,7.09,1,1,0,0,0,2,419121,3,0
7,Irfan Pathan,3,0,22,1,7.33,9,2,1,1,0,1,419121,3,25
8,Ramesh Powar,4,0,22,1,5.5,15,2,1,0,1,1,419121,3,25
9,Shalabh Srivastava,3,0,25,0,8.33,6,2,1,2,0,1,419121,3,0
10,Rusty Theron,4,0,17,2,4.25,13,1,0,3,0,1,419121,3,56
11,Piyush Chawla,4,0,27,1,6.75,6,1,1,0,0,1,419121,3,25
12,Yuvraj Singh,2,0,18,1,9,4,1,1,1,0,1,419121,3,25
0,Lasith Malinga,4,0,28,0,7,9,3,0,2,0,2,419122,3,0
1,Zaheer Khan,4,0,27,2,6.75,15,4,1,0,0,2,419122,3,50
2,Ryan McLaren,4,0,38,0,9.5,6,5,0,2,0,2,419122,3,0
3,Dwayne Bravo,4,0,36,0,9,6,3,1,2,0,2,419122,3,0
4,Harbhajan Singh,4,0,17,1,4.25,8,0,0,0,0,2,419122,3,31
5,Shane Bond,3,0,31,0,10.33,6,6,0,0,0,1,419122,3,0
6,Ishant Sharma,4,0,44,2,11,10,9,0,1,0,1,419122,3,50
7,Chris Gayle,4,0,31,0,7.75,8,4,0,2,0,1,419122,3,0
8,Murali Kartik,4,0,21,1,5.25,8,1,0,0,0,1,419122,3,25
9,Angelo Mathews,3.3,0,29,0,8.29,5,1,1,1,0,1,419122,3,0
0,Albie Morkel,4,0,28,1,7,11,3,1,0,0,2,419123,3,25
1,Sudeep Tyagi,4,0,19,0,4.75,13,2,0,1,0,2,419123,3,6
2,Lakshmipathy Balaji,4,0,49,1,12.25,8,5,3,1,1,2,419123,3,19
3,Muttiah Muralitharan,4,0,25,3,6.25,16,3,1,1,0,2,419123,3,79
4,Ravichandran Ashwin,4,0,40,0,10,3,1,3,0,0,2,419123,3,0
5,Praveen Kumar,4,0,21,1,5.25,12,2,0,2,0,1,419123,3,25
6,Dale Steyn,4,0,25,0,6.25,12,3,0,3,0,1,419123,3,0
7,Anil Kumble,4,0,15,1,3.75,12,1,0,0,0,1,419123,3,31
8,Jacques Kallis,4,0,29,0,7.25,10,5,0,0,0,1,419123,3,0
9,Vinay Kumar,4,0,40,4,10,10,3,3,1,0,1,419123,3,108
0,Irfan Pathan,4,0,45,0,11.25,6,6,1,0,0,2,419124,3,0
1,Sreesanth,3,0,20,1,6.67,10,3,0,1,2,2,419124,3,25
2,Shalabh Srivastava,4,0,49,1,12.25,5,6,1,3,0,2,419124,3,19
3,Rusty Theron,4,0,25,0,6.25,11,3,0,1,0,2,419124,3,0
4,Piyush Chawla,4,0,29,1,7.25,6,1,1,0,0,2,419124,3,25
5,Yuvraj Singh,1,0,12,0,12,0,2,0,0,0,2,419124,3,0
6,Munaf Patel,4,0,43,1,10.75,8,6,1,0,0,1,419124,3,25
7,Shaun Tait,3.1,0,22,3,6.95,8,3,0,1,0,1,419124,3,79
8,Shane Warne,4,0,39,1,9.75,7,3,2,1,0,1,419124,3,25
9,Siddharth Trivedi,4,0,25,2,6.25,11,0,1,1,1,1,419124,3,50
10,Adam Voges,2,0,12,0,6,3,1,0,0,0,1,419124,3,0
11,Yusuf Pathan,2,0,9,2,4.5,3,0,0,0,0,1,419124,3,56
0,Ryan McLaren,4,0,23,1,5.75,12,2,0,3,0,2,419125,3,25
1,Zaheer Khan,4,0,45,0,11.25,4,7,0,1,1,2,419125,3,0
2,Harbhajan Singh,4,0,25,1,6.25,7,1,0,1,0,2,419125,3,25
3,Dwayne Bravo,4,0,42,0,10.5,5,4,2,0,0,2,419125,3,0
4,Lasith Malinga,4,0,41,0,10.25,6,4,1,4,0,2,419125,3,0
5,Albie Morkel,4,0,26,0,6.5,9,2,0,2,0,1,419125,3,0
6,Lakshmipathy Balaji,4,0,47,1,11.75,7,3,3,1,0,1,419125,3,25
7,Joginder Sharma,2,0,23,1,11.5,4,4,0,1,1,1,419125,3,25
8,Shadab Jakati,4,0,30,1,7.5,10,3,1,0,0,1,419125,3,25
9,Muttiah Muralitharan,4,0,32,2,8,9,0,2,1,0,1,419125,3,50
10,Thisara Perera,1,0,19,0,19,0,4,0,0,0,1,419125,3,0
0,Sumit Narwal,4,0,35,2,8.75,11,3,2,0,0,2,419126,3,50
1,Abhishek Jhunjhunwala,1,0,16,0,16,2,0,2,2,0,2,419126,3,0
2,Siddharth Trivedi,3,0,35,0,11.67,2,4,1,0,0,2,419126,3,0
3,Shaun Tait,4,0,22,3,5.5,13,1,1,3,0,2,419126,3,79
4,Shane Warne,4,0,15,1,3.75,11,0,0,0,0,2,419126,3,31
5,Yusuf Pathan,2,0,12,0,6,2,0,0,2,0,2,419126,3,0
6,Adam Voges,2,0,9,0,4.5,3,0,0,0,0,2,419126,3,6
7,Chaminda Vaas,3,0,29,0,9.67,5,2,2,0,0,1,419126,3,0
8,RP Singh,2,0,22,0,11,5,5,0,0,0,1,419126,3,0
9,Rohit Sharma,2,0,17,0,8.5,4,1,1,0,0,1,419126,3,0
10,Rahul Sharma,3.4,0,30,0,8.18,8,0,3,0,0,1,419126,3,0
11,Pragyan Ojha,3,0,40,1,13.33,7,2,3,3,0,1,419126,3,19
12,Andrew Symonds,2,0,9,0,4.5,7,1,0,0,0,1,419126,3,6
0,Brett Lee,4,0,39,0,9.75,8,6,0,0,1,2,419127,3,0
1,Irfan Pathan,4,0,42,2,10.5,10,5,2,2,0,2,419127,3,50
2,Shalabh Srivastava,3,0,23,2,7.67,9,3,0,4,0,2,419127,3,50
3,Vikramjeet Malik,3,0,18,0,6,9,2,0,1,1,2,419127,3,0
4,Piyush Chawla,4,0,35,1,8.75,3,2,1,1,0,2,419127,3,25
5,Ravi Bopara,2,0,18,0,9,3,2,0,0,0,2,419127,3,0
6,Shane Bond,4,0,24,2,6,13,2,1,1,0,1,419127,3,50
7,Ashok Dinda,2,0,19,0,9.5,7,4,0,2,0,1,419127,3,0
8,Chris Gayle,3,0,23,1,7.67,5,2,0,2,0,1,419127,3,25
9,Ajit Agarkar,4,0,32,2,8,10,3,1,0,0,1,419127,3,50
10,Iqbal Abdulla,2,0,12,0,6,4,1,0,0,0,1,419127,3,0
11,Angelo Mathews,4,0,26,1,6.5,6,1,1,0,0,1,419127,3,25
12,David Hussey,1,0,7,0,7,1,0,0,0,0,1,419127,3,0
0,Praveen Kumar,4,0,45,0,11.25,8,3,2,3,0,2,419128,3,0
1,Dale Steyn,4,0,42,1,10.5,8,5,1,2,0,2,419128,3,25
2,Jacques Kallis,4,0,36,0,9,5,3,1,1,0,2,419128,3,0
3,Vinay Kumar,4,0,29,1,7.25,8,2,1,1,0,2,419128,3,25
4,Anil Kumble,4,0,30,0,7.5,3,2,0,0,0,2,419128,3,0
5,Dirk Nannes,4,0,31,0,7.75,7,3,0,0,0,1,419128,3,0
6,Umesh Yadav,4,0,27,1,6.75,11,4,0,0,1,1,419128,3,25
7,Pradeep Sangwan,4,0,32,1,8,5,3,0,4,0,1,419128,3,25
8,Amit Mishra,4,0,23,2,5.75,7,2,0,0,0,1,419128,3,50
9,Andrew McDonald,4,0,42,2,10.5,6,3,3,0,0,1,419128,3,50
0,Albie Morkel,4,0,46,2,11.5,7,5,2,0,0,2,419129,3,50
1,Thilan Thushara,4,0,28,2,7,12,5,0,1,0,2,419129,3,50
2,Muttiah Muralitharan,4,0,34,0,8.5,7,1,2,1,0,2,419129,3,0
3,Joginder Sharma,2,0,23,0,11.5,1,3,0,0,0,2,419129,3,0
4,Suresh Raina,2,0,15,0,7.5,2,0,1,0,0,2,419129,3,0
5,Shadab Jakati,4,0,30,2,7.5,8,1,2,0,0,2,419129,3,50
6,Yusuf Pathan,4,0,26,1,6.5,8,2,0,2,0,1,419129,3,25
7,Sumit Narwal,3,0,49,0,16.33,2,5,3,1,0,1,419129,3,-6
8,Shaun Tait,4,0,22,2,5.5,11,2,0,0,0,1,419129,3,50
9,Shane Warne,4,0,34,1,8.5,6,0,3,0,0,1,419129,3,25
10,Siddharth Trivedi,4,0,18,0,4.5,11,1,0,0,0,1,419129,3,6
11,Adam Voges,1,0,8,0,8,1,1,0,0,0,1,419129,3,0
0,Kemar Roach,4,0,32,0,8,14,5,1,2,0,2,419130,3,0
1,Jaskaran Singh,3,0,30,2,10,8,4,0,1,4,2,419130,3,50
2,Pragyan Ojha,4,0,24,2,6,12,2,1,0,0,2,419130,3,50
3,RP Singh,4,0,31,3,7.75,9,5,0,1,0,2,419130,3,79
4,Andrew Symonds,4,0,40,0,10,7,5,1,1,0,2,419130,3,0
5,Rohit Sharma,1,0,14,0,14,1,3,0,0,0,2,419130,3,0
6,Harbhajan Singh,4,0,31,3,7.75,7,4,0,2,0,1,419130,3,79
7,Ryan McLaren,3,0,24,0,8,9,3,1,1,0,1,419130,3,0
8,Zaheer Khan,3,0,21,3,7,10,1,2,0,0,1,419130,3,79
9,Lasith Malinga,3.4,0,12,3,3.27,14,0,0,1,0,1,419130,3,85
10,Dwayne Bravo,2,0,16,0,8,7,0,2,0,0,1,419130,3,0
11,Kieron Pollard,2,0,20,1,10,3,1,1,0,0,1,419130,3,25
0,Chris Gayle,4,0,38,1,9.5,6,3,2,0,0,2,419131,3,25
1,Charl Langeveldt,3,0,35,2,11.67,6,4,2,1,0,2,419131,3,50
2,Ishant Sharma,1,0,17,1,17,2,2,1,2,0,2,419131,3,25
3,David Hussey,4,0,24,0,6,6,1,0,0,0,2,419131,3,0
4,Angelo Mathews,2,0,11,0,5.5,4,1,0,0,0,2,419131,3,0
5,Murali Kartik,4,0,26,0,6.5,7,1,1,0,0,2,419131,3,0
6,Ajit Agarkar,2,0,26,0,13,3,3,1,0,1,2,419131,3,-6
7,Dirk Nannes,3.1,0,15,1,4.74,12,2,0,1,0,1,419131,3,31
8,Andrew McDonald,4,0,37,2,9.25,7,3,2,1,0,1,419131,3,50
9,Amit Mishra,4,0,18,1,4.5,11,0,1,0,0,1,419131,3,31
10,Rajat Bhatia,4,0,28,1,7,8,3,0,1,0,1,419131,3,25
11,Umesh Yadav,4,0,27,2,6.75,10,3,0,2,1,1,419131,3,50
12,Paul Collingwood,0.5,0,7,1,8.4,1,0,0,0,0,1,419131,3,25
0,Ryan McLaren,3,0,29,0,9.67,7,5,0,0,1,2,419132,3,0
1,Zaheer Khan,4,0,34,3,8.5,8,4,0,1,0,2,419132,3,79
2,Lasith Malinga,4,0,22,4,5.5,12,2,0,2,0,2,419132,3,108
3,Harbhajan Singh,4,0,26,0,6.5,7,0,0,1,0,2,419132,3,0
4,Kieron Pollard,2,0,20,0,10,0,0,1,2,0,2,419132,3,0
5,Dwayne Bravo,3,0,22,1,7.33,6,3,0,0,0,2,419132,3,25
6,Brett Lee,2.3,0,24,0,9.6,5,2,0,2,0,1,419132,3,0
7,Shalabh Srivastava,4,0,27,1,6.75,13,2,1,3,0,1,419132,3,25
8,Irfan Pathan,3,0,20,1,6.67,6,2,0,1,0,1,419132,3,25
9,Vikramjeet Malik,2,0,21,0,10.5,2,3,0,0,0,1,419132,3,0
10,Piyush Chawla,3,0,32,1,10.67,7,2,2,1,0,1,419132,3,25
11,Karan Goel,1,0,7,0,7,1,0,0,0,0,1,419132,3,0
12,Ravi Bopara,4,0,31,3,7.75,8,3,1,0,0,1,419132,3,79
0,Thilan Thushara,4,0,30,1,7.5,11,2,2,1,0,2,419133,3,25
1,Manpreet Gony,3,0,39,0,13,5,4,2,3,0,2,419133,3,-6
2,Albie Morkel,4,0,40,0,10,2,5,0,0,0,2,419133,3,0
3,Shadab Jakati,4,1,17,2,4.25,14,2,0,0,0,2,419133,3,68
4,Muttiah Muralitharan,4,0,21,0,5.25,9,2,0,0,0,2,419133,3,0
5,Chandrasekar Ganapathy,1,0,13,0,13,1,1,1,0,0,2,419133,3,0
6,Praveen Kumar,3,0,42,0,14,5,3,3,1,0,1,419133,3,-6
7,Dale Steyn,4,0,20,1,5,10,1,0,1,0,1,419133,3,25
8,Anil Kumble,4,0,16,1,4,13,1,0,0,0,1,419133,3,31
9,Jacques Kallis,3,0,21,1,7,6,1,1,0,0,1,419133,3,25
10,Kevin Pietersen,2,0,26,1,13,2,0,3,0,0,1,419133,3,19
11,Vinay Kumar,2.5,0,31,1,10.94,5,3,1,0,2,1,419133,3,25
0,Yusuf Pathan,3,0,25,0,8.33,4,2,1,0,0,2,419134,3,0
1,Sumit Narwal,4,0,36,3,9,10,2,2,1,0,2,419134,3,79
2,Adam Voges,1,0,9,0,9,4,2,0,1,0,2,419134,3,0
3,Shaun Tait,4,0,53,1,13.25,7,6,2,1,1,2,419134,3,19
4,Shane Warne,4,0,26,1,6.5,8,2,0,0,0,2,419134,3,25
5,Siddharth Trivedi,4,0,35,0,8.75,4,3,1,0,0,2,419134,3,0
6,Farveez Maharoof,3,0,13,2,4.33,13,1,1,0,0,1,419134,3,56
7,Andrew McDonald,2,0,17,0,8.5,3,2,0,0,0,1,419134,3,0
8,Amit Mishra,4,0,25,3,6.25,13,2,1,2,0,1,419134,3,79
9,Umesh Yadav,3,0,21,0,7,7,3,0,0,0,1,419134,3,0
10,Sarabjit Ladda,4,0,37,1,9.25,13,1,4,1,0,1,419134,3,25
11,Paul Collingwood,1,0,6,1,6,1,0,0,0,0,1,419134,3,25
12,Virender Sehwag,0.4,0,2,1,3,2,0,0,0,0,1,419134,3,25
0,Kemar Roach,4,0,48,0,12,6,5,2,1,1,2,419135,3,-6
1,Jaskaran Singh,3,0,18,2,6,10,3,0,0,0,2,419135,3,50
2,Andrew Symonds,4,0,26,2,6.5,12,3,1,0,0,2,419135,3,50
3,Harmeet Singh,2,0,21,0,10.5,6,3,0,1,0,2,419135,3,0
4,Rohit Sharma,2,0,16,0,8,1,1,0,1,0,2,419135,3,0
5,Pragyan Ojha,4,0,38,2,9.5,11,1,4,2,0,2,419135,3,50
6,Venugopal Rao,1,0,10,0,10,1,1,0,0,0,2,419135,3,0
7,Mohnish Parmar,3,0,33,0,11,4,6,0,1,0,1,419135,3,0
8,Shane Bond,4,0,28,1,7,11,2,1,2,0,1,419135,3,25
9,Ajit Agarkar,4,0,31,1,7.75,7,4,0,1,0,1,419135,3,25
10,Murali Kartik,4,0,29,1,7.25,10,4,0,0,0,1,419135,3,25
11,Angelo Mathews,4,0,25,1,6.25,9,2,0,1,0,1,419135,3,25
12,Chris Gayle,1,0,9,1,9,2,0,1,0,0,1,419135,3,25
0,Praveen Kumar,4,0,37,0,9.25,9,5,1,1,0,2,419136,3,0
1,Vinay Kumar,3,0,24,1,8,5,3,0,0,0,2,419136,3,25
2,Dale Steyn,4,0,31,1,7.75,9,4,0,1,0,2,419136,3,25
3,Jacques Kallis,4,0,45,1,11.25,7,5,1,1,0,2,419136,3,25
4,Anil Kumble,4,0,33,1,8.25,7,2,1,0,1,2,419136,3,25
5,Kevin Pietersen,1,0,8,0,8,1,1,0,0,0,2,419136,3,0
6,Brett Lee,4,0,48,0,12,3,3,2,1,0,1,419136,3,-6
7,Sreesanth,2,0,14,0,7,7,2,0,0,1,1,419136,3,0
8,Shalabh Srivastava,2,0,21,1,10.5,1,3,0,0,0,1,419136,3,25
9,Piyush Chawla,2,0,22,0,11,2,2,1,0,0,1,419136,3,0
10,Bipul Sharma,4,0,26,1,6.5,7,0,1,0,0,1,419136,3,25
11,Yuvraj Singh,2,0,14,0,7,4,1,0,0,0,1,419136,3,0
12,Irfan Pathan,3.1,0,36,1,11.37,4,6,0,1,0,1,419136,3,25
0,Yusuf Pathan,4,0,44,0,11,5,3,3,0,0,2,419137,3,0
1,Sumit Narwal,2,0,41,0,20.5,2,2,5,0,0,2,419137,3,-6
2,Shaun Tait,4,0,44,0,11,8,5,2,1,0,2,419137,3,0
3,Shane Watson,4,0,47,2,11.75,8,4,3,1,0,2,419137,3,50
4,Shrikant Wagh,1,0,16,1,16,2,4,0,0,0,2,419137,3,25
5,Shane Warne,3,0,32,1,10.67,6,1,3,0,0,2,419137,3,25
6,Abhishek Jhunjhunwala,2,0,18,0,9,4,0,1,0,0,2,419137,3,0
7,Albie Morkel,4,0,56,2,14,4,10,1,0,0,1,419137,3,44
8,Doug Bollinger,4,0,15,2,3.75,15,1,0,1,1,1,419137,3,56
9,Sudeep Tyagi,4,0,45,0,11.25,8,5,2,2,0,1,419137,3,0
10,Muttiah Muralitharan,4,0,52,1,13,9,2,6,1,0,1,419137,3,19
11,Shadab Jakati,3,0,37,0,12.33,4,1,4,0,0,1,419137,3,-6
12,Suresh Raina,1,0,8,0,8,1,1,0,0,0,1,419137,3,0
0,Rohit Sharma,3,0,26,0,8.67,4,2,0,2,0,2,419138,3,0
1,Ryan Harris,4,0,40,1,10,7,6,0,0,0,2,419138,3,25
2,Andrew Symonds,4,0,32,0,8,5,1,1,1,0,2,419138,3,0
3,Jaskaran Singh,2,0,28,0,14,1,3,1,1,0,2,419138,3,-6
4,Pragyan Ojha,4,0,26,3,6.5,12,3,1,0,0,2,419138,3,79
5,Rahul Sharma,3,0,24,1,8,8,1,2,0,0,2,419138,3,25
6,Harbhajan Singh,3,1,16,2,5.33,10,2,0,0,0,1,419138,3,62
7,Lasith Malinga,3.2,0,20,1,6,11,1,1,1,0,1,419138,3,25
8,Zaheer Khan,2,0,10,2,5,5,1,0,0,0,1,419138,3,50
9,Dwayne Bravo,2,0,12,0,6,5,1,0,0,0,1,419138,3,0
10,Kieron Pollard,4,0,26,2,6.5,7,0,0,2,1,1,419138,3,50
11,Ryan McLaren,4,0,28,2,7,8,3,0,0,0,1,419138,3,50
0,Irfan Pathan,4,0,36,1,9,7,4,1,1,0,2,419139,3,25
1,Ramesh Powar,4,0,23,0,5.75,10,1,1,1,0,2,419139,3,0
2,Shalabh Srivastava,3,0,35,0,11.67,7,5,1,2,0,2,419139,3,0
3,Rusty Theron,4,0,36,1,9,7,4,1,0,1,2,419139,3,25
4,Ravi Bopara,3,0,43,1,14.33,4,0,4,2,0,2,419139,3,19
5,Piyush Chawla,2,0,26,0,13,2,2,2,0,0,2,419139,3,-6
6,Shane Bond,4,0,32,1,8,7,4,0,1,0,1,419139,3,25
7,Jaydev Unadkat,2.2,0,32,0,13.71,2,5,1,0,0,1,419139,3,-6
8,Murali Kartik,4,0,41,1,10.25,3,3,2,1,0,1,419139,3,25
9,Chris Gayle,1,0,16,0,16,1,2,1,0,0,1,419139,3,0
10,Angelo Mathews,3,0,32,0,10.67,3,2,2,0,0,1,419139,3,0
11,Ajit Agarkar,3,0,35,0,11.67,5,5,1,0,0,1,419139,3,0
12,David Hussey,1,0,13,0,13,0,0,1,0,0,1,419139,3,0
0,Anil Kumble,4,0,33,1,8.25,12,3,2,0,0,2,419140,3,25
1,Vinay Kumar,4,0,35,0,8.75,10,5,1,0,0,2,419140,3,0
2,Abhimanyu Mithun,3,0,39,1,13,2,2,3,1,1,2,419140,3,19
3,Jacques Kallis,3,0,26,0,8.67,8,3,1,0,0,2,419140,3,0
4,Kevin Pietersen,1,0,3,0,3,4,0,0,0,0,2,419140,3,0
5,KP Appanna,4,0,24,1,6,10,0,2,0,0,2,419140,3,25
6,Cameron White,1,0,19,0,19,2,1,2,1,0,2,419140,3,0
7,Farveez Maharoof,4,0,28,1,7,9,4,0,0,0,1,419140,3,25
8,Amit Mishra,4,0,32,3,8,13,1,3,0,1,1,419140,3,79
9,Daniel Vettori,4,0,40,1,10,7,2,3,0,0,1,419140,3,25
10,Rajat Bhatia,4,0,24,1,6,5,1,0,0,0,1,419140,3,25
11,Pradeep Sangwan,4,0,22,3,5.5,7,1,0,0,0,1,419140,3,79
0,Ryan Harris,4,0,34,2,8.5,11,4,1,1,0,2,419141,3,50
1,Dwayne Smith,2.5,0,22,1,7.76,5,3,0,0,0,2,419141,3,25
2,RP Singh,4,0,17,3,4.25,13,1,0,1,0,2,419141,3,85
3,Harmeet Singh,4,0,25,2,6.25,13,2,1,1,0,2,419141,3,50
4,Andrew Symonds,2,0,18,0,9,3,0,1,0,0,2,419141,3,0
5,Pragyan Ojha,3,0,37,1,12.33,2,4,1,1,0,2,419141,3,19
6,Yusuf Pathan,2,0,3,0,1.5,9,0,0,0,0,1,419141,3,6
7,Shane Watson,3,0,40,0,13.33,4,5,1,4,0,1,419141,3,-6
8,Aditya Dole,4,0,42,2,10.5,8,3,2,1,1,1,419141,3,50
